loan_id,gender,married,dependents,education,self_employed,loan_amount,loan_amount_term,credit_history,property_area,loan_status,total_income,loan_to_income
LP001318,1,1,2,1,0,188.0,180.0,1,1,1,11904.0,1.32
LP001319,1,1,2,0,0,81.0,360.0,1,2,1,5093.0,1.33
LP001322,1,0,0,1,0,122.0,360.0,1,1,1,4133.0,2.46
LP001325,1,0,0,0,0,25.0,120.0,1,1,1,3620.0,0.58
LP001327,0,1,0,1,0,137.0,340.76889848812095,1,1,1,4786.0,2.39
LP001333,1,1,0,1,0,50.0,360.0,1,1,1,2974.0,1.4
LP001334,1,1,0,0,0,115.0,180.0,1,1,1,4188.0,2.29
LP001343,1,1,0,1,0,131.0,360.0,1,1,1,5300.0,2.06
LP001349,1,0,0,1,0,151.0,360.0,1,1,1,8649.0,1.45
LP001367,1,1,1,1,0,100.0,360.0,1,2,1,4082.0,2.04
LP001369,1,1,2,1,0,225.0,360.0,1,2,1,11330.0,1.65
LP001370,1,0,0,0,0,120.0,360.0,1,0,0,7333.0,1.36
LP001384,1,1,3,0,0,94.0,480.0,1,1,1,2825.0,2.77
LP001385,1,0,0,1,0,136.0,360.0,1,2,1,6799.644219782066,1.67
LP001398,1,0,0,1,0,118.0,360.0,1,1,1,5050.0,1.95
LP001401,1,1,1,1,0,149.25327510917032,180.0,1,0,1,10204.0,1.22
LP001404,0,1,0,1,0,154.0,360.0,1,1,1,5450.0,2.35
LP001405,1,1,1,1,0,85.0,360.0,1,2,1,3612.0,1.96
LP001422,0,0,0,1,0,149.25327510917032,360.0,1,2,1,10204.0,1.22
LP001430,0,0,0,1,0,44.0,360.0,1,1,1,4166.0,0.88
LP001431,0,0,0,1,0,137.0,360.0,0,1,1,7969.5,1.43
LP001432,1,1,2,1,0,81.0,360.0,1,1,1,2957.0,2.28
LP001439,1,1,0,0,0,194.0,360.0,1,0,1,6314.0,2.56
LP001443,0,1,0,1,0,93.0,360.0,1,0,1,3692.0,2.1
LP001451,1,1,1,1,1,149.25327510917032,180.0,0,2,0,14054.0,0.88
LP001465,1,1,0,1,0,182.0,360.0,1,0,0,8649.0,1.75
LP001469,1,0,0,1,1,650.0,480.0,1,2,1,10204.0,5.31
LP001473,1,0,0,1,0,74.0,360.0,1,2,1,3943.0,1.56
LP001482,1,1,0,1,1,149.25327510917032,120.0,1,1,1,3459.0,3.6
LP001487,1,0,0,1,0,102.0,360.0,1,1,1,4895.0,1.74
LP001488,1,1,3,1,0,149.25327510917032,360.0,1,1,0,9832.5,1.26
LP001489,0,1,0,1,0,149.25327510917032,360.0,1,0,0,4583.0,2.71
LP001491,1,1,2,1,1,88.0,360.0,1,2,1,6816.0,1.08
LP001493,1,1,2,0,0,129.0,360.0,1,0,0,5630.0,1.91
LP001497,1,1,2,1,0,185.0,360.0,1,1,0,7125.0,2.16
LP001498,1,0,0,1,0,168.0,340.76889848812095,1,2,1,6900.644219782066,2.03
LP001504,1,0,0,1,1,175.0,180.0,1,1,1,6950.0,2.1
LP001508,1,1,2,1,0,187.0,180.0,1,2,1,10204.0,1.53
LP001514,0,1,0,1,0,100.0,360.0,1,1,1,6816.0,1.22
LP001516,0,1,2,1,0,70.0,340.76889848812095,1,2,1,10204.0,0.57
LP001519,0,0,0,1,0,225.0,360.0,1,0,0,11666.0,1.61
LP001520,1,1,0,1,0,125.0,360.0,1,1,1,5479.561555075594,1.9
LP001528,1,0,0,1,0,118.0,360.0,0,0,0,4649.561555075594,2.11
LP001529,1,1,0,1,1,152.0,360.0,1,0,1,6327.0,2.0
LP001532,1,1,2,0,0,113.0,360.0,1,0,0,2281.0,4.13
LP001535,1,0,0,1,0,50.0,360.0,1,2,1,3254.0,1.28
LP001536,1,1,3,1,0,600.0,180.0,0,1,1,10204.0,4.9
LP001541,1,1,1,1,0,160.0,360.0,1,0,1,6000.0,2.22
LP001543,1,1,1,1,0,187.0,360.0,1,2,1,9538.0,1.63
LP001546,1,0,0,1,0,120.0,360.0,1,0,1,5063.0,1.98
LP001552,1,1,0,1,0,255.0,360.0,1,1,1,10208.0,2.08
LP001560,1,1,0,0,0,98.0,340.76889848812095,1,1,1,2904.0,2.81
LP001562,1,1,0,1,0,275.0,360.0,1,2,0,7933.0,2.89
LP001570,1,1,2,1,0,158.0,360.0,1,0,1,5614.0,2.35
LP001572,1,1,0,1,0,75.0,340.76889848812095,1,2,1,9323.0,0.67
LP001577,0,1,0,1,0,112.0,360.0,1,0,0,4583.0,2.04
LP001578,1,1,0,1,0,129.0,360.0,1,0,1,5772.0,1.86
LP001580,1,1,2,1,0,200.0,360.0,1,1,1,8000.0,2.08
LP001581,1,1,0,0,0,149.25327510917032,360.0,1,0,1,3589.0,3.47
LP001586,1,1,3,0,0,81.0,180.0,1,0,0,3522.0,1.92
LP001594,1,1,0,1,0,187.0,360.0,1,1,1,11333.0,1.38
LP001603,1,1,0,0,1,87.0,360.0,1,1,0,5080.0,1.43
LP001606,1,1,0,1,0,116.0,360.0,1,0,1,5461.0,1.77
LP001608,1,1,2,1,0,101.0,360.0,1,0,1,3664.0,2.3
LP001610,1,1,3,1,0,495.0,360.0,0,1,0,11348.5,3.63
LP001616,1,1,1,1,0,116.0,360.0,1,1,1,3750.0,2.58
LP001630,1,0,0,0,0,102.0,480.0,0,2,0,3784.0,2.25
LP001633,1,1,1,1,0,180.0,360.0,0,2,0,12232.5,1.23
LP001634,1,0,0,1,0,67.0,360.0,1,0,0,6979.0,0.8
LP001636,1,1,0,1,0,73.0,180.0,1,1,1,6083.644219782066,1.0
LP001637,1,1,1,1,0,260.0,360.0,1,1,0,10204.0,2.12
LP001639,0,1,0,1,0,108.0,360.0,1,1,1,3625.0,2.48
LP001640,1,1,0,1,1,120.0,360.0,1,1,1,14954.0,0.67
LP001643,1,1,0,1,0,58.0,360.0,1,0,1,6787.561555075594,0.71
LP001647,1,1,0,1,0,188.0,180.0,1,0,1,9328.0,1.68
LP001656,1,0,0,1,0,164.0,360.0,1,1,0,10204.0,1.34
LP001658,1,0,0,1,0,76.0,360.0,1,1,1,4649.561555075594,1.36
LP001665,1,1,1,1,0,170.0,340.76889848812095,1,1,0,5708.0,2.48
LP001671,0,1,0,1,0,113.0,360.0,1,1,1,6232.0,1.51
LP001673,1,0,0,1,0,83.0,360.0,1,2,0,4649.561555075594,1.49
LP001674,1,1,1,0,0,149.25327510917032,360.0,1,1,1,5100.0,2.44
LP001677,1,0,2,1,0,166.0,360.0,0,1,1,4923.0,2.81
LP001688,1,1,1,0,0,135.0,340.76889848812095,1,2,1,4983.644219782066,2.26
LP001691,1,1,0,0,0,124.0,360.0,1,1,1,3917.0,2.64
LP001692,0,0,0,0,0,120.0,360.0,1,1,1,4408.0,2.27
LP001693,0,0,0,1,0,80.0,360.0,1,2,1,4727.644219782066,1.41
LP001698,1,0,0,0,0,55.0,360.0,1,0,1,6506.0,0.7
LP001702,1,0,0,1,0,127.0,360.0,1,1,0,3418.0,3.1
LP001711,1,1,3,1,0,128.0,360.0,0,1,0,4680.0,2.28
LP001713,1,1,1,1,1,240.0,360.0,1,2,1,7787.0,2.57
LP001715,1,1,3,0,0,130.0,360.0,1,0,1,5703.0,1.9
LP001716,1,1,0,1,0,137.0,360.0,1,2,1,6194.0,1.84
LP001720,1,1,3,0,0,100.0,360.0,1,1,1,4833.0,1.72
LP001722,1,1,0,1,0,135.0,360.0,1,0,0,1950.0,5.77
LP001734,0,1,2,1,0,127.0,360.0,1,1,1,6666.0,1.59
LP001743,1,1,2,1,0,116.0,360.0,1,1,1,5726.0,1.69
LP001744,1,0,0,1,0,144.0,360.0,1,1,1,5762.0,2.08
LP001750,1,1,0,1,0,128.0,360.0,1,1,1,7733.644219782066,1.38
LP001751,1,1,0,1,0,170.0,360.0,1,1,0,3250.0,4.36
LP001758,1,1,2,1,0,210.0,360.0,1,1,1,7945.0,2.2
LP001761,1,0,0,1,1,200.0,360.0,1,0,1,6400.0,2.6
LP001768,1,1,0,1,0,42.0,180.0,1,0,1,3716.0,0.94
LP001776,0,0,0,1,0,280.0,360.0,1,1,1,8333.0,2.8
LP001778,1,1,1,1,0,140.0,360.0,1,1,1,4934.0,2.36
LP001784,1,1,1,1,0,170.0,360.0,1,0,1,6760.0,2.1
LP001786,1,1,0,1,0,255.0,360.0,1,2,0,5746.0,3.7
LP001788,0,0,0,1,1,122.0,340.76889848812095,1,2,1,4649.561555075594,2.19
LP001790,0,0,1,1,0,112.0,360.0,1,0,1,3812.0,2.45
LP001792,1,1,1,1,0,96.0,360.0,1,1,1,3315.0,2.41
LP001798,1,1,2,1,0,120.0,360.0,1,0,1,10819.0,0.92
LP001806,1,0,0,1,0,155.0,60.0,1,2,1,8666.0,1.49
LP001807,1,1,2,1,1,149.25327510917032,360.0,1,0,1,7550.0,1.65
LP001811,1,1,0,0,0,123.0,360.0,1,1,1,7823.0,1.31
LP001813,1,0,0,1,1,120.0,180.0,1,2,0,10383.0,0.96
LP001814,1,1,2,1,0,112.0,360.0,1,2,1,9703.0,0.96
LP001819,1,1,1,0,0,137.0,180.0,1,2,1,6608.0,1.73
LP001835,1,1,0,0,0,201.0,360.0,0,1,0,5558.0,3.01
LP001836,0,0,2,1,0,138.0,360.0,1,2,0,3427.0,3.36
LP001841,1,0,0,1,1,104.0,360.0,1,0,1,6816.561555075594,1.27
LP001843,1,1,1,0,0,279.0,180.0,1,1,1,10482.061555075594,2.22
LP001844,1,0,0,1,1,192.0,360.0,0,2,0,10204.0,1.57
LP001846,0,0,3,1,0,255.0,360.0,1,0,1,3083.0,6.89
LP001849,1,0,0,0,0,115.0,360.0,1,0,0,6045.0,1.59
LP001854,1,1,3,1,0,94.0,360.0,1,2,0,5250.0,1.49
LP001859,1,1,0,1,0,304.0,360.0,1,0,0,12304.0,2.06
LP001864,1,1,3,0,0,128.0,360.0,1,1,0,4931.0,2.16
LP001865,1,1,1,1,0,330.0,360.0,1,2,1,7566.644219782066,3.63
LP001868,1,0,0,1,0,134.0,360.0,1,1,1,4269.0,2.62
LP001870,0,0,1,1,0,155.0,36.0,1,1,0,3481.0,3.71
LP001871,0,0,0,1,0,120.0,360.0,1,0,1,7200.0,1.39
LP001872,1,0,0,1,1,128.0,360.0,1,1,1,6649.644219782066,1.6
LP001875,1,0,0,1,0,151.0,360.0,1,0,1,7542.0,1.67
LP001877,1,1,2,1,0,150.0,360.0,1,1,1,6095.0,2.05
LP001882,1,1,3,1,0,160.0,360.0,0,2,1,6144.0,2.17
LP001883,0,0,0,1,0,135.0,360.0,1,0,0,3418.0,3.29
LP001884,0,0,1,1,0,90.0,360.0,1,2,1,6209.561555075594,1.21
LP001888,0,0,0,1,0,30.0,360.0,1,2,1,4649.561555075594,0.54
LP001892,1,0,0,1,0,126.0,360.0,1,0,1,4690.0,2.24
LP001894,1,1,0,1,0,150.0,360.0,1,1,1,4843.0,2.58
LP001896,1,1,2,1,0,90.0,360.0,1,1,1,3900.0,1.92
LP001900,1,1,1,1,0,115.0,360.0,1,1,1,4592.0,2.09
LP001903,1,1,0,1,0,207.0,360.0,1,1,1,7267.0,2.37
LP001904,1,1,0,1,0,80.0,360.0,1,2,1,4403.0,1.51
LP001907,1,1,0,1,0,436.0,360.0,1,1,1,10204.0,3.56
LP001910,1,0,1,0,1,158.0,360.0,1,2,0,6479.0,2.03
LP001914,1,1,0,1,0,112.0,360.0,1,1,1,4727.0,1.97
LP001917,0,0,0,1,0,54.0,360.0,1,2,1,3294.644219782066,1.37
LP001924,1,0,0,1,0,89.0,360.0,1,0,1,6211.0,1.19
LP001925,1,0,0,1,1,99.0,300.0,1,1,0,4317.0,1.91
LP001926,1,1,0,1,0,120.0,360.0,1,0,1,5704.0,1.75
LP001931,0,0,0,1,0,115.0,360.0,1,1,1,4124.0,2.32
LP001935,1,0,0,1,0,187.0,360.0,1,0,1,9508.0,1.64
LP001936,1,1,0,1,0,139.0,360.0,1,0,1,5491.0,2.11
LP001938,1,1,2,1,0,127.0,340.76889848812095,0,1,0,4400.0,2.41
LP001940,1,1,2,1,0,134.0,360.0,1,2,1,4713.0,2.37
LP001947,1,1,0,1,0,172.0,360.0,1,1,1,5717.0,2.51
LP001949,1,1,3,1,0,110.0,360.0,1,2,1,5666.0,1.62
LP001953,1,1,1,1,0,200.0,360.0,1,1,1,6875.0,2.42
LP001954,0,1,0,1,0,135.0,360.0,1,2,1,4666.0,2.41
LP001955,0,0,0,1,0,151.0,480.0,1,0,0,7190.561555075594,1.75
LP001963,1,1,1,1,0,113.0,360.0,1,2,0,4939.0,1.91
LP001964,1,1,0,0,0,93.0,360.0,0,2,0,4734.0,1.64
LP001974,1,0,0,1,0,132.0,360.0,1,0,1,5000.0,2.2
LP001977,1,1,1,1,0,96.0,360.0,1,2,1,3428.0,2.33
LP001978,1,0,0,1,0,140.0,340.76889848812095,1,0,1,6500.0,1.79
LP001993,0,0,0,1,0,135.0,360.0,1,0,1,5428.0,2.07
LP001994,0,0,0,1,0,104.0,360.0,0,2,0,4263.0,2.03
LP001996,1,0,0,1,0,480.0,360.0,1,0,0,10204.0,3.92
LP001998,1,1,2,0,0,185.0,360.0,1,0,1,7667.0,2.01
LP002002,0,0,0,1,0,84.0,360.0,1,1,1,2917.0,2.4
LP002004,1,0,0,0,0,111.0,360.0,1,1,1,5332.0,1.73
LP002008,1,1,2,1,1,149.25327510917032,84.0,1,0,1,5746.0,2.16
LP002031,1,1,1,0,0,111.0,180.0,1,2,1,5039.0,1.84
LP002035,1,1,2,1,0,149.25327510917032,360.0,1,1,1,3717.0,3.35
LP002036,1,1,0,1,0,88.0,360.0,1,2,1,4192.0,1.75
LP002043,0,0,1,1,0,112.0,360.0,1,1,1,3541.0,2.64
LP002050,1,1,1,1,1,155.0,360.0,1,0,0,10000.0,1.29
LP002051,1,1,0,1,0,115.0,360.0,1,1,1,4567.0,2.1
LP002053,1,1,3,1,0,124.0,360.0,1,1,1,4531.0,2.28
LP002055,0,0,0,1,0,132.0,360.0,1,0,1,6151.0,1.79
LP002065,1,1,3,1,0,300.0,360.0,1,0,1,10204.0,2.45
LP002067,1,1,1,1,1,376.0,360.0,0,0,0,13649.0,2.3
LP002068,1,0,0,1,0,130.0,360.0,0,0,1,4917.0,2.2
LP002082,1,1,0,1,1,184.0,340.76889848812095,1,1,1,7978.0,1.92
LP002086,1,1,0,1,0,149.25327510917032,360.0,1,2,0,7100.561555075594,1.75
LP002087,0,0,0,1,0,67.0,360.0,1,2,1,2500.0,2.23
LP002097,1,0,1,1,0,117.0,360.0,1,2,1,6177.0,1.58
LP002101,1,1,0,1,0,490.0,180.0,1,2,1,10204.0,4.0
LP002110,1,1,1,1,0,160.0,360.0,1,0,1,5938.0,2.25
LP002112,1,1,2,1,1,176.0,360.0,1,0,1,7100.0,2.07
LP002114,0,0,0,1,0,71.0,360.0,1,1,1,4160.0,1.42
LP002116,0,0,0,1,0,46.0,360.0,1,0,0,2378.0,1.61
LP002119,1,1,0,0,0,158.0,340.76889848812095,1,2,1,5783.0,2.28
LP002126,1,1,3,0,0,74.0,360.0,1,1,1,3173.0,1.94
LP002128,1,1,2,1,0,125.0,360.0,1,0,1,4913.0,2.12
LP002129,1,1,0,1,0,160.0,360.0,1,1,1,4957.0,2.69
LP002131,1,1,2,0,0,126.0,360.0,1,2,1,5251.0,2.0
LP002137,1,1,0,1,0,259.0,360.0,1,1,1,10916.0,1.98
LP002139,1,1,0,1,0,228.0,360.0,1,1,1,9083.0,2.09
LP002140,1,0,0,1,0,308.0,360.0,1,0,0,12917.0,1.99
LP002141,1,1,3,1,0,95.0,360.0,1,0,1,4149.644219782066,1.91
LP002143,1,1,0,1,0,130.0,360.0,1,1,1,2928.0,3.7
LP002149,1,1,2,1,0,165.0,360.0,1,0,1,11500.0,1.2
LP002151,1,1,1,1,0,67.0,360.0,1,2,0,3875.0,1.44
LP002158,1,1,0,0,0,100.0,480.0,0,2,0,4483.644219782066,1.86
LP002160,1,1,3,1,0,200.0,360.0,1,1,1,8334.0,2.0
LP002161,0,0,1,1,0,81.0,340.76889848812095,1,1,0,4723.0,1.43
LP002170,1,1,2,1,0,236.0,360.0,1,1,1,8316.561555075594,2.36
LP002175,1,1,0,1,0,130.0,360.0,1,2,1,7083.0,1.53
LP002178,1,1,0,1,0,95.0,300.0,1,2,1,6046.0,1.31
LP002180,1,0,0,1,1,141.0,360.0,1,0,1,6822.0,1.72
LP002181,1,1,0,0,0,133.0,340.76889848812095,1,0,0,6216.0,1.78
LP002191,1,1,0,1,0,570.0,360.0,1,0,0,11687.644219782065,4.06
LP002194,0,0,0,1,0,55.0,360.0,1,1,1,10204.0,0.45
LP002201,1,1,2,1,1,380.0,300.0,1,0,1,10482.061555075594,3.02
LP002205,1,0,1,1,0,111.0,180.0,0,2,0,5049.0,1.83
LP002209,0,0,0,1,0,149.25327510917032,360.0,1,2,1,4223.0,2.95
LP002211,1,1,0,1,0,120.0,180.0,1,2,1,5740.0,1.74
LP002219,1,1,3,1,0,130.0,360.0,1,0,1,13746.0,0.79
LP002223,1,1,0,1,0,130.0,360.0,1,1,1,4310.0,2.51
LP002224,1,0,0,1,0,149.25327510917032,480.0,1,2,0,3069.0,4.05
LP002225,1,1,2,1,0,130.0,360.0,1,2,1,5391.0,2.01
LP002226,1,1,0,1,0,128.0,360.0,1,1,1,5833.0,1.83
LP002231,0,0,0,1,0,156.0,360.0,1,2,1,6000.0,2.17
LP002234,1,0,0,1,0,149.25327510917032,360.0,1,2,1,8650.644219782065,1.44
LP002236,1,1,0,1,0,100.0,360.0,1,2,0,4566.0,1.83
LP002237,1,0,0,1,0,113.0,180.0,1,2,1,5150.644219782066,1.83
LP002239,1,0,0,0,0,132.0,360.0,1,1,1,3946.0,2.79
LP002250,1,1,0,1,0,125.0,360.0,1,0,1,5488.0,1.9
LP002255,1,0,3,1,0,185.0,360.0,1,0,1,9167.0,1.68
LP002262,1,1,3,1,0,275.0,360.0,1,0,1,9504.0,2.41
LP002263,1,1,0,1,0,120.0,360.0,1,2,1,4698.0,2.13
LP002265,1,1,2,0,0,113.0,180.0,1,1,1,3476.644219782066,2.71
LP002266,1,1,0,1,0,113.0,360.0,1,2,1,4500.0,2.09
LP002277,0,0,0,1,0,71.0,360.0,0,2,0,3180.0,1.86
LP002281,1,1,0,1,0,95.0,360.0,1,2,1,4492.0,1.76
LP002284,1,0,0,0,0,109.0,360.0,1,0,1,5568.0,1.63
LP002287,0,0,0,1,0,103.0,360.0,0,1,0,3300.0,2.6
LP002288,1,1,0,0,0,45.0,180.0,0,2,0,2889.0,1.3
LP002297,1,0,0,1,0,103.0,360.0,1,1,1,8332.5,1.03
LP002300,0,0,0,0,0,53.0,360.0,1,1,1,1963.0,2.25
LP002301,0,0,0,1,1,194.0,360.0,1,0,0,7441.0,2.17
LP002305,0,0,0,1,0,115.0,360.0,1,1,1,4547.0,2.11
LP002308,1,1,0,0,0,115.0,360.0,1,2,1,4567.0,2.1
LP002314,0,0,0,0,0,66.0,360.0,1,0,1,2213.0,2.49
LP002317,1,1,3,1,0,360.0,360.0,0,0,0,10204.0,2.94
LP002318,0,0,1,0,1,62.0,360.0,1,1,0,3867.0,1.34
LP002319,1,1,0,1,0,160.0,360.0,1,2,1,6256.0,2.13
LP002328,1,1,0,0,0,218.0,360.0,0,1,0,6096.0,2.98
LP002332,1,1,0,0,0,110.0,360.0,1,0,1,4286.0,2.14
LP002335,0,1,0,0,0,149.25327510917032,360.0,0,1,0,5386.0,2.31
LP002337,0,0,0,1,0,60.0,360.0,1,2,1,2995.0,1.67
LP002341,0,0,1,1,0,160.0,360.0,1,2,0,2600.0,5.13
LP002342,1,1,2,1,1,239.0,360.0,1,2,0,7432.5,2.68
LP002345,1,1,0,1,0,149.25327510917032,360.0,1,0,1,3798.0,3.27
LP002347,1,1,0,1,0,138.0,360.0,1,1,1,4729.644219782066,2.43
LP002348,1,1,0,1,0,138.0,360.0,1,0,1,5829.0,1.97
LP002361,1,1,0,1,0,100.0,360.0,1,1,1,3539.0,2.35
LP002366,1,1,0,1,0,121.0,360.0,1,0,1,6966.0,1.45
LP002367,0,0,1,0,0,81.0,360.0,1,0,0,4606.0,1.47
LP002368,1,1,2,1,0,133.0,360.0,1,1,1,5935.0,1.87
LP002369,1,1,0,1,0,87.0,360.0,1,0,1,2936.12000084,2.47
LP002370,1,1,0,0,0,60.0,180.0,1,2,1,2717.0,1.84
LP002377,0,0,1,1,1,150.0,360.0,1,1,1,8624.0,1.45
LP002379,1,0,0,1,0,149.25327510917032,360.0,0,0,0,6500.0,1.91
LP002387,1,1,0,1,0,143.0,340.76889848812095,1,1,1,4765.0,2.5
LP002390,1,0,0,1,0,100.0,360.0,1,2,1,3750.0,2.22
LP002398,1,0,0,1,0,50.0,360.0,1,1,1,3777.0,1.1
LP002403,1,0,0,1,1,187.0,360.0,0,2,0,10204.0,1.53
LP002407,0,1,0,0,1,138.0,360.0,1,0,1,7142.0,1.61
LP002408,1,0,0,1,0,187.0,360.0,1,1,1,8724.0,1.79
LP002409,1,1,0,1,0,180.0,360.0,1,0,1,9734.0,1.54
LP002418,1,0,3,0,0,148.0,360.0,1,1,1,6642.561555075594,1.86
LP002422,1,1,1,1,0,152.0,360.0,1,1,1,11687.644219782065,1.08
LP002429,1,1,1,1,1,130.0,360.0,1,0,1,4676.0,2.32
LP002434,1,1,2,0,0,110.0,360.0,1,0,1,4652.0,1.97
LP002435,1,1,0,1,0,55.0,360.0,1,0,0,4915.0,0.93
LP002443,1,1,2,1,0,149.25327510917032,360.0,0,0,0,5050.0,2.46
LP002444,1,0,1,0,1,190.0,360.0,1,1,0,4311.0,3.67
LP002446,1,1,2,0,0,125.0,360.0,0,0,0,3564.0,2.92
LP002447,1,1,2,0,0,60.0,300.0,1,2,1,3414.0,1.46
LP002448,1,1,0,1,0,149.0,360.0,0,0,0,5681.0,2.19
LP002453,1,0,0,1,1,84.0,360.0,1,1,1,7085.0,0.99
LP002455,1,1,0,1,0,96.0,360.0,1,1,1,3859.0,2.07
LP002459,1,1,0,1,0,118.0,360.0,1,2,1,4301.0,2.29
